customer_id,signup_date,tenure_months,monthly_spend,support_tickets_90d,contract_type,region,autopay,late_payments_6m,nps_score,churn
C0001,2021-01-18,9,76.75,5,quarterly,east,no,4,1,yes
C0002,2021-02-04,16,74.0,0,annual,west,no,0,10,no
C0003,2021-02-21,23,101.0,4,monthly,north,no,3,3,yes
C0004,2021-03-10,30,113.5,6,quarterly,south,no,4,1,yes
C0005,2021-03-27,38,103.75,1,annual,east,no,0,10,no
C0006,2021-04-13,45,145.75,5,monthly,west,no,3,2,yes
C0007,2021-04-30,5,74.5,6,monthly,north,yes,3,2,yes
C0008,2021-05-17,12,73.0,0,quarterly,south,yes,4,7,no
C0009,2021-06-03,19,77.25,3,annual,east,yes,0,9,no
C0010,2021-06-20,27,119.25,7,monthly,west,yes,3,1,yes
C0011,2021-07-07,34,100.75,1,quarterly,north,yes,4,6,no
C0012,2021-07-24,41,114.0,4,annual,south,yes,0,8,no
C0013,2021-08-10,48,135.0,0,monthly,east,yes,3,8,yes
C0014,2021-08-27,8,85.75,5,monthly,west,no,1,4,yes
C0015,2021-09-13,16,77.75,5,quarterly,north,yes,0,6,no
C0016,2021-09-30,23,77.0,0,annual,south,yes,2,10,no
C0017,2021-10-17,30,115.5,6,monthly,east,no,1,3,yes
C0018,2021-11-03,37,122.5,6,quarterly,west,yes,0,5,no
C0019,2021-11-20,44,104.75,1,annual,north,yes,2,9,no
C0020,2021-12-07,5,152.25,7,monthly,south,no,1,2,yes
C0021,2021-12-24,12,78.5,2,monthly,east,no,3,5,yes
C0022,2022-01-10,19,89.0,4,quarterly,west,no,4,2,yes
C0023,2022-01-27,26,,7,annual,north,no,0,4,yes
C0024,2022-02-13,33,115.25,3,monthly,south,no,3,4,yes
C0025,2022-03-02,41,118.75,5,quarterly,east,no,4,1,yes
C0026,2022-03-19,48,116.0,0,annual,west,no,0,10,no
C0027,2022-04-05,8,69.0,4,monthly,north,no,3,3,yes
C0028,2022-04-22,15,88.75,5,monthly,south,yes,3,3,yes
C0029,2022-05-09,22,92.25,7,quarterly,east,yes,4,1,yes
C0030,2022-05-26,30,89.5,2,annual,west,yes,0,10,no
